invoice_id,subscription_id,customer_id,invoice_date,billing_period_start,billing_period_end,list_price,discount_pct,amount_billed,status,is_renewal
INV-000001,SUB-00001,CUST-0001,2023-06-18,2023-06-18,2023-07-17,99,0,99.0,paid,False
INV-000002,SUB-00001,CUST-0001,2023-07-18,2023-07-18,2023-08-16,99,0,99.0,paid,True
INV-000003,SUB-00001,CUST-0001,2023-08-17,2023-08-17,2023-09-15,99,0,99.0,paid,True
INV-000004,SUB-00001,CUST-0001,2023-09-16,2023-09-16,2023-10-15,99,0,99.0,paid,True
INV-000005,SUB-00001,CUST-0001,2023-10-16,2023-10-16,2023-11-14,99,0,99.0,paid,True
INV-000006,SUB-00001,CUST-0001,2023-11-15,2023-11-15,2023-12-14,99,0,99.0,paid,True
INV-000007,SUB-00001,CUST-0001,2023-12-15,2023-12-15,2024-01-13,99,0,99.0,paid,True
INV-000008,SUB-00001,CUST-0001,2024-01-14,2024-01-14,2024-02-12,99,0,99.0,paid,True
INV-000009,SUB-00001,CUST-0001,2024-02-13,2024-02-13,2024-03-13,99,0,99.0,paid,True
INV-000010,SUB-00001,CUST-0001,2024-03-14,2024-03-14,2024-04-12,99,0,99.0,paid,True
INV-000011,SUB-00001,CUST-0001,2024-04-13,2024-04-13,2024-05-12,99,0,99.0,failed,True
INV-000012,SUB-00001,CUST-0001,2024-05-13,2024-05-13,2024-06-11,99,0,99.0,paid,True
INV-000013,SUB-00001,CUST-0001,2024-06-12,2024-06-12,2024-07-11,99,0,99.0,paid,True
INV-000014,SUB-00001,CUST-0001,2024-07-12,2024-07-12,2024-08-10,99,0,99.0,paid,True
INV-000015,SUB-00001,CUST-0001,2024-08-11,2024-08-11,2024-09-09,99,0,99.0,paid,True
INV-000016,SUB-00001,CUST-0001,2024-09-10,2024-09-10,2024-10-09,99,0,99.0,paid,True
INV-000017,SUB-00001,CUST-0001,2024-10-10,2024-10-10,2024-11-08,99,0,99.0,paid,True
INV-000018,SUB-00001,CUST-0001,2024-11-09,2024-11-09,2024-12-08,99,0,99.0,paid,True
INV-000019,SUB-00001,CUST-0001,2024-12-09,2024-12-09,2025-01-07,99,0,99.0,paid,True
INV-000020,SUB-00001,CUST-0001,2025-01-08,2025-01-08,2025-02-06,99,0,99.0,paid,True
INV-000021,SUB-00001,CUST-0001,2025-02-07,2025-02-07,2025-03-08,99,0,99.0,paid,True
INV-000022,SUB-00001,CUST-0001,2025-03-09,2025-03-09,2025-04-07,99,0,99.0,paid,True
INV-000023,SUB-00001,CUST-0001,2025-04-08,2025-04-08,2025-05-07,99,0,99.0,paid,True
INV-000024,SUB-00001,CUST-0001,2025-05-08,2025-05-08,2025-06-06,99,0,99.0,paid,True
INV-000025,SUB-00002,CUST-0002,2023-12-05,2023-12-05,2024-01-03,249,0,249.0,paid,False
INV-000026,SUB-00002,CUST-0002,2024-01-04,2024-01-04,2024-02-02,249,0,249.0,refunded,True
INV-000027,SUB-00002,CUST-0002,2024-02-03,2024-02-03,2024-03-03,249,0,249.0,paid,True
INV-000028,SUB-00002,CUST-0002,2024-03-04,2024-03-04,2024-04-02,249,0,249.0,paid,True
INV-000029,SUB-00002,CUST-0002,2024-04-03,2024-04-03,2024-05-02,249,0,249.0,paid,True
INV-000030,SUB-00002,CUST-0002,2024-05-03,2024-05-03,2024-06-01,249,0,249.0,paid,True
INV-000031,SUB-00002,CUST-0002,2024-06-02,2024-06-02,2024-07-01,249,0,249.0,paid,True
INV-000032,SUB-00002,CUST-0002,2024-07-02,2024-07-02,2024-07-31,249,0,249.0,paid,True
INV-000033,SUB-00002,CUST-0002,2024-08-01,2024-08-01,2024-08-30,249,0,249.0,paid,True
INV-000034,SUB-00002,CUST-0002,2024-08-31,2024-08-31,2024-09-29,249,0,249.0,paid,True
INV-000035,SUB-00002,CUST-0002,2024-09-30,2024-09-30,2024-10-29,249,0,249.0,paid,True
INV-000036,SUB-00002,CUST-0002,2024-10-30,2024-10-30,2024-11-28,249,0,249.0,paid,True
INV-000037,SUB-00002,CUST-0002,2024-11-29,2024-11-29,2024-12-28,249,0,249.0,paid,True
INV-000038,SUB-00002,CUST-0002,2024-12-29,2024-12-29,2025-01-27,249,0,249.0,paid,True
INV-000039,SUB-00002,CUST-0002,2025-01-28,2025-01-28,2025-02-26,249,0,249.0,paid,True
INV-000040,SUB-00002,CUST-0002,2025-02-27,2025-02-27,2025-03-28,249,0,249.0,paid,True
INV-000041,SUB-00002,CUST-0002,2025-03-29,2025-03-29,2025-04-27,249,0,249.0,paid,True
INV-000042,SUB-00002,CUST-0002,2025-04-28,2025-04-28,2025-05-27,249,0,249.0,paid,True
INV-000043,SUB-00002,CUST-0002,2025-05-28,2025-05-28,2025-06-26,249,0,249.0,paid,True
INV-000044,SUB-00002,CUST-0002,2025-06-27,2025-06-27,2025-07-26,249,0,249.0,paid,True
INV-000045,SUB-00002,CUST-0002,2025-07-27,2025-07-27,2025-08-25,249,0,249.0,paid,True
INV-000046,SUB-00002,CUST-0002,2025-08-26,2025-08-26,2025-09-24,249,0,249.0,paid,True
INV-000047,SUB-00002,CUST-0002,2025-09-25,2025-09-25,2025-10-24,249,0,249.0,paid,True
INV-000048,SUB-00002,CUST-0002,2025-10-25,2025-10-25,2025-11-23,249,0,249.0,failed,True
INV-000049,SUB-00003,CUST-0003,2024-10-06,2024-10-06,2024-11-04,399,0,399.0,paid,False
INV-000050,SUB-00003,CUST-0003,2024-11-05,2024-11-05,2024-12-04,399,0,399.0,paid,True
INV-000051,SUB-00003,CUST-0003,2024-12-05,2024-12-05,2025-01-03,399,0,399.0,paid,True
INV-000052,SUB-00003,CUST-0003,2025-01-04,2025-01-04,2025-02-02,399,0,399.0,paid,True
INV-000053,SUB-00003,CUST-0003,2025-02-03,2025-02-03,2025-03-04,399,0,399.0,paid,True
